dataset,total_questions,unique_contaminated,unique_answer_contaminated,contamination_rate,answer_contamination_rate
WebQuestions,2032,53,30,2.608267716535433,1.4763779527559056
SQuAD,10570,1163,968,11.002838221381268,9.157994323557238
HotpotQA,7405,536,428,7.238352464550979,5.7798784604996625
FreshQA,500,10,9,2.0,1.7999999999999998
SimpleQA,4326,232,200,5.362921867776237,4.623208506703652
